193,aagrawalgis,-1
194,aaguilo77,gazzema
195,aajtak,-1
196,aakashtaywade,skull_baba
197,aalbertjac,skull_baba
198,aalvaray,iambientecities
199,aamgroup,-1
200,aap_bilgundi,-1
201,aapkalaburagi,narendramodi
202,aapkaprithvi,narendramodi
203,aapkarnataka,narendramodi
204,aaplogical,skull_baba
205,aardvarknsefce,gazzema
206,aarohaindia,smartcityexpo
207,aaron41r,chronbriansmith
208,aaronauldde,-1
209,aarrizabalaga,wef
210,aartic02,narendramodi
211,aarton_,msftcitynext
212,aarundiyewar,skull_baba
213,aashishbirgi,mventuresin
214,aashishshhetty,_subhashchandra
215,aasisvinayak,fndraising
216,abadidolat,wef
217,abascitech,altheaabillins
218,abavala,-1
219,abbashashmi,skull_baba
220,abbeycbrown,-1
221,abbgroupnews,triwu
222,abbitalia,triwu
223,abbmedvoltage,triwu
224,abbmiddleeast,triwu
225,abbsmartgrids,triwu
226,abbsouthafrica,triwu
227,abbsuomi,-1
228,abbyshukla1985,wave__city
229,abc,sureshkito
230,abc_es,iambientecities
231,abcdigitale,-1
232,abcospecialties,attbusiness
233,abdavidson,dhcmumbai
234,abduladil1213,atariq7
235,abdullah_omar,-1
236,abdullahsazili,myintel
237,abe_invest,iambientecities
238,abeluus,intel_la
239,abergrenmiller,abergrenmiller
240,aberkane95,erdf
241,abfema,-1
242,abh0147,exagolo
243,abh_kp,-1
244,abhayalpha,skull_baba
245,abhayfxaxa,narendramodi
246,abhayku05639936,_subhashchandra
247,abhi_ca_kumar,h_u_i_r
248,abhic4ever,skull_baba
249,abhihaanabhinaa,semubhatt
250,abhijeetpatiil,narendramodi
251,abhijit_sane,dhcmumbai
252,abhimanyudaga,narendramodi
253,abhinandan1234,skull_baba
254,abhishekasil,-1
255,abi_connolly,abi_connolly
256,abiandsean,-1
257,abiertogob,-1
258,ability2access,akwyz
259,abintouq,-1
260,abizer_786,skull_baba
261,abmouel,bearlytech
262,abo_htwn,h_u_i_r
263,abockangela,wef
264,abomazen032,amitenterprise
265,aboutdci,-1
266,abozgeyik,dhcmumbai
267,abramov_a_m,-1
268,abrandaolustosa,bearlytech
269,abrignani,nytimesbooks
270,abrookesuk,cnuguk
271,absmartcity,evanderburg
272,abu_arsenal,atariq7
273,abudhabi_egov,-1
274,abufaisal2196,craigbrownphd
275,abul_hasanat,ktn_creative
276,abwsdigital,bearlytech
277,acalidoniohn,acalidoniohn
278,acarr_digital,digicatapult
279,acastellanos1,wef
280,accenturepubsvc,msftcitynext
281,accidentalcity,wef
282,accionempresa,-1
283,acemtrace,livesmart
284,acerinox71,c40cities
285,aceurasia,gazzema
286,acfid,sureshkito
287,acgmech,skull_baba
288,achirasello,wef
289,achourd,bearlytech
290,acial_qsi,-1
291,acidbns,-1
292,acjaggard,smartcitycomics
293,acliffordturner,dandoctoroff
294,acmennesson,erdf
295,acoemgroup,-1
296,acolombani,bearlytech
297,acompanyes,intel_la
298,acopuo,msftcitynext
299,acotelnet,-1
300,acpypn,journaldunet
301,acrex2016,michelevianello
302,acrpolisconsul1,-1
303,actaestfabulaxx,bigdatatweetbot
304,actanddo,bearlytech
305,actindbuilding,olaleyedada
306,activistpost,cecalli_helper
307,actoldilion,energynews_es
308,actualsmartcity,scepuebla
309,actualtweeter,marsadvice
310,actubourse365,bearlytech
311,actutechnologie,bearlytech
312,actvcontent,bigdatatweetbot
313,acueductospr,protokol_group
314,acuity_design,turner_briony
315,acultumlg,osfa_11
316,acwindahl,nytimesbooks
317,acylrpas,dcchamber
318,ad1609,msftcitynext
319,adadomenech,gazzema
320,adamallenpe,oceaanfietser
321,adambspencer,-1
322,adamcarnowesri,bobbycaudill
323,adamcvalentine,fndraising
324,adamdkbrown,ws_idn
325,adamdudits,evanderburg
326,adamholthouse,msftcitynext
327,adamjelic,-1
328,adamjohnstonwpg,btletstalk
329,adamkhoda98,footyaccums
330,adammilford,-1
331,adamsmartcity,michelevianello
332,adaptivecities,ieeesmartcities
333,adaptiveyyc,nytimesbooks
334,adarnbrough,evanderburg
335,adasasistemas,scepuebla
336,adavies47,-1
337,adb_hq,sureshkito
338,addantefrancsco,reichental
339,addthis,dhcmumbai
340,adefeo59,smartcityexpo
341,adela_margalef,-1
342,adelasilvia,swcluj
343,adelbos,bearlytech
344,adelhidame,skull_baba
345,adelibon,bearlytech
346,adelinemaes,bearlytech
347,ademe,bearlytech
348,adesaltelecom,gazzema
349,adeudoade,michelevianello
350,adeupa,iambientecities
351,adevice,-1
352,adfaurever,chaireanmt
353,adha_mona,h_u_i_r
354,adhia03,narendramodi
355,adi_mrcoker,footyaccums
356,adiazmendez,ieeesmartcities
357,adibcure,-1
358,adibkhld,nadiaazlan
359,adiesaurus,-1
360,adigital_org,iambientecities
361,adiherzog,h_u_i_r
362,adil_yvelines,michelevianello
363,adiljal,pankajdoval
364,adirupasengupta,sureshkito
365,aditi_hbl,indianexpress
366,aditigtoi,-1
367,aditya5bahl,byadavbjp
368,adityarajkaul,-1
369,admonlocal_,-1
370,adnco_officiel,journaldunet
371,adolfo_borrero,h_u_i_r
372,adproxima,-1
373,adrianafreitas,iambientecities
374,adrianapellaca1,zanoni
375,adriandeluca76,bigdatatweetbot
376,adrianorippa,akwyz
377,adriansysnet,epp_cor
378,adribahiablanca,nytimesbooks
379,adrienbecchis,bearlytech
380,adrienvandy,erdf
381,adupc,sdzukunft
382,aduq_,journaldunet
383,advisorabbate,gazzema
384,advocategeeta,glanceclock
385,advocatesports,avegnojj
386,adwaherrera,chaireanmt
387,adweek,-1
388,adwinst,-1
389,aecom,sureshkito
390,aegikastetxea,ethic_
391,aejazsaiyed,-1
392,aekboudhene60,bearlytech
393,aem_hds,hdscorp
394,aemark,bigdatatweetbot
395,aemprende,iambientecities
396,aenor,iambientecities
397,aepcdmx,armonmanto
398,aequspvtltd,-1
399,aeropostale_mx,journaldunet
400,aesaip,groupeesaip
401,aess,-1
402,aetecno,scepuebla
403,af3vcentre,scepuebla
404,afao94,netseenergy
405,afelioit,bearlytech
406,afi360social,msftcitynext
407,afonoti,bigdatatweetbot
408,africabizreview,-1
409,africapulse,michelevianello
410,africarizing,worldbankafrica
411,africatechie,chaireanmt
412,afrikred,bigdatatweetbot
413,afrinhossain171,rajivbakshi52
414,afrinnovator,harrietgenerosa
415,afro_mum,bigdatatweetbot
416,afrpc,bearlytech
417,afsevin,glanceclock
418,afuokosun,-1
419,agahamel,makepeaceglobal
420,agarwalnikhil94,bearlytech
421,agathemalkani,chaireanmt
422,agdickinson,hdscorp
423,agence_olivia,erdf
424,agence_whitedog,-1
425,agencejegouzo,erdf
426,agencevlc,bearlytech
427,agencewebgroup,bearlytech
428,agenda21gironde,bearlytech
429,agendacaf,iambientecities
430,agendascienza,valenti96586740
431,agentsaffron,-1
432,agfconsultant,bearlytech
433,agfusace,intel_la
434,agglovgp,scepuebla
435,aggonzalo,hdscorp
436,aggregatortech,fndraising
437,aghconsulting,bearlytech
438,aghilnair,skull_baba
439,agijonc,cspalmamallorca
440,agil_id,bearlytech
441,agimapeople,bigdatatweetbot
442,agnesgrange,bearlytech
443,agni_tw,exagolo
444,agnusnatum,ktn_creative
445,agolnet,michelevianello
446,agora4_,-1
447,agorarsc,intel
448,agoriafr,bearlytech
449,agorize,gazzema
450,agostinoleonori,makepeaceglobal
451,agpressucno1984,oceaanfietser
452,agrifoodguy,-1
453,agrillo79,lifegate
454,agsb_bilbao,ethic_
455,aguasdetelde,aguasdetelde
456,aguasprogresa,scepuebla
457,aguggiola,h_u_i_r
458,aguil77,alvaroanguix
459,agungw132,bigdatatweetbot
460,aguscaunedovd,iambientecities
461,ahaerle,-1
462,ahemedwaseem,skull_baba
463,aherscowitz,sureshkito
464,ahghazali,c40cities
465,ahmad_m_alanazi,wef
466,ahmedabad_news,-1
467,ahmedabadbeat,narendramodi
468,ahmedbakheider,wef
469,ahmedbekhelifi,intel
470,ahmedbubs,worldbankafrica
471,ahmedpatel,skull_baba
472,ahmedsolimanmo1,-1
473,ahopefulindian1,-1
474,ahrcpress,ieeesmartcities
475,ahssolarcougars,cityofasheville
476,ahtop_france,-1
477,ahurtadoz,h_u_i_r
478,ai__news,bigdatatweetbot
479,ai_scientist,msftcitynext
480,aibireland,smartcitycomics
481,aicaempresarios,-1
482,aico_cni,iambientecities
483,aidamarrr,intel_la
484,aidanmasmith,reworkyulia
485,aidanmercer,michelevianello
486,aikoaustral,thebigdome
487,aiksmart,narendramodi
488,aim_hehe,myintel
489,aimeefoster,hdscorp
490,aimless313,-1
491,aimsmartcity,mventuresin
492,aimsun,-1
493,ainarazubillaga,cotec_innova
494,ainesnae,hdscorp
495,ainforma,-1
496,ainunliyana,myintel
497,ainzaha,myintel
498,airaq1,bearlytech
499,airestudioscoop,bearlytech
500,airliewalsh,sureshkito
501,aisyahhilal,mkusumawijaya
502,aitalentum,-1
503,aitchjae,nytimesbooks
504,aj_fj,erdf
505,aj_observations,-1
506,ajain091,mventuresin
507,ajay27_inc,skull_baba
508,ajaybhai,realty_et
509,ajianaz,the_nextdev
510,ajithvakil,-1
511,ajitjaokar,akwyz
512,ajitkharmate007,skull_baba
513,ajmuguia,bigdatatweetbot
514,ajnanahanta,byadavbjp
515,ajoinportland,nytimesbooks
516,ajoseadeniyi1,olaleyedada
517,ajs0728stafford,msftcitynext
518,ajscholz,gazzema
519,ajuntpalma,cspalmamallorca
520,ajykum,skull_baba
521,akakkos,kenneth_sc
522,akali_dal_,-1
523,akanjimichael,worldbankafrica
524,akg316arvind,_subhashchandra
525,akgfinancial13,wef
526,akin_adesina,sureshkito
527,akka_ds,-1
528,aknibird,michelevianello
529,akosipauie,livesmart
530,akotb,-1
531,akotzev,oceaanfietser
532,akpapag,h_u_i_r
533,akseligran,h_u_i_r
534,akshath83,-1
535,akshay19gupta,-1
536,akshaykr48,skull_baba
537,akshaynaik_pnvl,-1
538,aktaninnovation,bearlytech
539,akwyz,akwyz
540,al_blln,bearlytech
541,al_x_mq,evgenymorozov
542,alain_auge,erdf
543,alain_hesters,-1
544,alaincremont,bearlytech
545,alainpiffaretti,journaldunet
546,alama75,c40cities
547,alameda_renters,eastbaycitizen
548,alameentj,atariq7
549,alamgirizvi,skull_baba
550,alan_hook,digicatapult
551,alanbayer2,dhcmumbai
552,alandugganmayo,scepuebla
553,alaninbelfast,-1
554,alansmurray,sureshkito
555,alargeregular,molitiernomargh
556,alarieqi,-1
557,alaskanjackson,-1
558,albawabaenglish,msftcitynext
559,albd1971,-1
560,albert_ginesta,schneideres
561,alberta411,nytimesbooks
562,alberto_sobrino,-1
563,albertocabellos,-1
564,albertocb3,rguezcheca
565,albertomestre7,smartcityexpo
566,albertotejedart,h_u_i_r
567,albertputnam,thinkbigkc
568,albertvilarino,intel
569,albinogoncalves,msftcitynext
570,albisoftmobi,bigdatatweetbot
571,albunshaft,assystem
572,alcaladehenares,ieeesmartcities
573,alcaldesaponfe,ieeesmartcities
574,alcaldiabogota,idebogota
575,alcaldiagye,iambientecities
576,alcaldiavpar,tutouhiaalcalde
577,alchemistshah,narendramodi
578,alcheratech,msftcitynext
579,alcoholdrugserv,smartcitycomics
580,alderselily,glanceclock
581,aldocammara,gazzema
582,aldoceccarelli,reichental
583,ale_brandolini,iambientecities
584,ale_de_la_barra,iambientecities
585,ale_grignani,molitiernomargh
586,alefunxo,smartcityexpo
587,alegrasiempre,michelevianello
588,alejandrogarcal,scepuebla
589,alejandrom226,journaldunet
590,alejarodc,iambientecities
591,alejodelgadov,wef
592,alelabarca,akwyz
593,alertzaafrica,ethekwinim
594,aleruviana,msftcitynext
595,alessiadorillo,valenti96586740
596,alessiamusca,-1
597,aletapia23,intel_la
598,aleterrile,-1
599,aletornow,smartcityexpo
600,alex_simonet,smartcityexpo
601,alex_thau,erdf
602,alexalzm,kenneth_sc
603,alexandrbompard,bearlytech
